Model,F1_max,Precision_max,Recall_max,Accuracy_max,ROC_AUC,PR_AUC
AST,0.9717305151915456,1.0,1.0,0.9450154162384378,0.8815386257260903,0.991268807170436
EPANNS,0.9717305151915456,1.0,1.0,0.9450154162384378,0.8734328388549242,0.9846390151417672
PANNS,0.9717305151915456,1.0,1.0,0.9450154162384378,0.9355907568619679,0.7389329211539944
PASST,0.9717305151915456,1.0,1.0,0.9450154162384378,0.9436355597566739,0.9927575476841342
PENGI,0.9717305151915456,0.973170731707317,1.0,0.9450154162384378,0.6714742368109446,0.9366078405454468
QWEN2 AUDIO,0.9717305151915456,0.9450154162384378,1.0,0.9450154162384378,,
SILERO,0.9717305151915456,1.0,1.0,0.9450154162384378,0.7744914190463122,0.8564738690588906
WEBRTC,0.758893280632411,0.9624060150375939,0.6264274061990212,0.6238437821171634,,
WHISPER SMALL,0.6880733944954128,0.9798994974874372,0.5301794453507341,0.5457348406988695,,
WHISPER TINY,0.6752966558791802,0.9968152866242038,0.5106035889070146,0.5359712230215827,,
