Chunk,Condition
AVA_053oq2xB3oU_s0_e4000_chunk0,True
AVA_053oq2xB3oU_s4000_e8000_chunk1,True
AVA_053oq2xB3oU_s8000_e12000_chunk2,True
AVA_053oq2xB3oU_s12000_e16000_chunk3,True
AVA_053oq2xB3oU_s16000_e20000_chunk4,True
AVA_053oq2xB3oU_s20000_e24000_chunk5,False
AVA_053oq2xB3oU_s24000_e28000_chunk6,True
AVA_053oq2xB3oU_s28000_e32000_chunk7,True
AVA_053oq2xB3oU_s32000_e36000_chunk8,True
AVA_053oq2xB3oU_s36000_e40000_chunk9,True
AVA_053oq2xB3oU_s40000_e44000_chunk10,True
AVA_053oq2xB3oU_s44000_e48000_chunk11,True
AVA_053oq2xB3oU_s48000_e52000_chunk12,True
AVA_053oq2xB3oU_s52000_e56000_chunk13,True
AVA_053oq2xB3oU_s56000_e60000_chunk14,True
AVA_053oq2xB3oU_s60000_e64000_chunk15,True
AVA_053oq2xB3oU_s64000_e68000_chunk16,False
AVA_053oq2xB3oU_s68000_e72000_chunk17,True
AVA_053oq2xB3oU_s72000_e76000_chunk18,True
AVA_053oq2xB3oU_s76000_e80000_chunk19,True
AVA_053oq2xB3oU_s80000_e84000_chunk20,True
AVA_053oq2xB3oU_s84000_e88000_chunk21,True
AVA_053oq2xB3oU_s88000_e92000_chunk22,True
AVA_053oq2xB3oU_s92000_e96000_chunk23,True
AVA_053oq2xB3oU_s96000_e100000_chunk24,True
AVA_053oq2xB3oU_s100000_e104000_chunk25,True
AVA_053oq2xB3oU_s104000_e108000_chunk26,False
AVA_053oq2xB3oU_s108000_e112000_chunk27,True
AVA_053oq2xB3oU_s112000_e116000_chunk28,False
AVA_053oq2xB3oU_s116000_e120000_chunk29,False
AVA_053oq2xB3oU_s120000_e124000_chunk30,False
AVA_053oq2xB3oU_s124000_e128000_chunk31,False
AVA_053oq2xB3oU_s128000_e132000_chunk32,False
AVA_053oq2xB3oU_s132000_e136000_chunk33,True
AVA_053oq2xB3oU_s136000_e140000_chunk34,True
